sample_id,project,site_name,site_id,site,site_position,date,time_interval_wks,replicate,bps_replicate,Tt_bps,notes
PSD25_S2.3_t0_C,PSD25,Craig Key,S2.3,2,3,2025-06-09,t0,C,5,NA,
PSD25_S2.4_t0_A,PSD25,Craig Key,S2.4,2,4,2025-06-09,t0,A,1,3,
PSD25_S2.4_t0_A,PSD25,Craig Key,S2.4,2,4,2025-06-09,t0,A,2,3,
PSD25_S2.4_t0_A,PSD25,Craig Key,S2.4,2,4,2025-06-09,t0,A,3,4,
PSD25_S2.4_t0_A,PSD25,Craig Key,S2.4,2,4,2025-06-09,t0,A,4,3,
PSD25_S2.4_t0_A,PSD25,Craig Key,S2.4,2,4,2025-06-09,t0,A,5,3,
PSD25_S2.4_t0_B,PSD25,Craig Key,S2.4,2,4,2025-06-09,t0,B,1,4,
PSD25_S2.4_t0_B,PSD25,Craig Key,S2.4,2,4,2025-06-09,t0,B,2,5,
PSD25_S2.4_t0_B,PSD25,Craig Key,S2.4,2,4,2025-06-09,t0,B,3,3,
PSD25_S2.4_t0_B,PSD25,Craig Key,S2.4,2,4,2025-06-09,t0,B,4,3,
PSD25_S2.4_t0_B,PSD25,Craig Key,S2.4,2,4,2025-06-09,t0,B,5,3,
PSD25_S2.4_t0_C,PSD25,Craig Key,S2.4,2,4,2025-06-09,t0,C,1,3,
PSD25_S2.4_t0_C,PSD25,Craig Key,S2.4,2,4,2025-06-09,t0,C,2,4,
PSD25_S2.4_t0_C,PSD25,Craig Key,S2.4,2,4,2025-06-09,t0,C,3,4,
PSD25_S2.4_t0_C,PSD25,Craig Key,S2.4,2,4,2025-06-09,t0,C,4,3,
PSD25_S2.4_t0_C,PSD25,Craig Key,S2.4,2,4,2025-06-09,t0,C,5,3,
PSD25_S2.5_t0_A,PSD25,Craig Key,S2.5,2,5,2025-06-09,t0,A,1,2,
PSD25_S2.5_t0_A,PSD25,Craig Key,S2.5,2,5,2025-06-09,t0,A,2,3,
PSD25_S2.5_t0_A,PSD25,Craig Key,S2.5,2,5,2025-06-09,t0,A,3,2,
PSD25_S2.5_t0_A,PSD25,Craig Key,S2.5,2,5,2025-06-09,t0,A,4,3,
PSD25_S2.5_t0_A,PSD25,Craig Key,S2.5,2,5,2025-06-09,t0,A,5,3,
PSD25_S2.5_t0_B,PSD25,Craig Key,S2.5,2,5,2025-06-09,t0,B,1,3,
PSD25_S2.5_t0_B,PSD25,Craig Key,S2.5,2,5,2025-06-09,t0,B,2,4,
PSD25_S2.5_t0_B,PSD25,Craig Key,S2.5,2,5,2025-06-09,t0,B,3,4,
PSD25_S2.5_t0_B,PSD25,Craig Key,S2.5,2,5,2025-06-09,t0,B,4,4,
PSD25_S2.5_t0_B,PSD25,Craig Key,S2.5,2,5,2025-06-09,t0,B,5,4,
PSD25_S2.5_t0_C,PSD25,Craig Key,S2.5,2,5,2025-06-09,t0,C,1,3,
PSD25_S2.5_t0_C,PSD25,Craig Key,S2.5,2,5,2025-06-09,t0,C,2,4,
PSD25_S2.5_t0_C,PSD25,Craig Key,S2.5,2,5,2025-06-09,t0,C,3,3,
PSD25_S2.5_t0_C,PSD25,Craig Key,S2.5,2,5,2025-06-09,t0,C,4,4,
PSD25_S2.5_t0_C,PSD25,Craig Key,S2.5,2,5,2025-06-09,t0,C,5,3,
PSD25_S2.6_t0_A,PSD25,Craig Key,S2.6,2,6,2025-06-09,t0,A,1,5,
PSD25_S2.6_t0_A,PSD25,Craig Key,S2.6,2,6,2025-06-09,t0,A,2,2,
PSD25_S2.6_t0_A,PSD25,Craig Key,S2.6,2,6,2025-06-09,t0,A,3,3,
PSD25_S2.6_t0_A,PSD25,Craig Key,S2.6,2,6,2025-06-09,t0,A,4,5,
PSD25_S2.6_t0_A,PSD25,Craig Key,S2.6,2,6,2025-06-09,t0,A,5,3,
PSD25_S2.6_t0_B,PSD25,Craig Key,S2.6,2,6,2025-06-09,t0,B,1,4,
PSD25_S2.6_t0_B,PSD25,Craig Key,S2.6,2,6,2025-06-09,t0,B,2,4,
PSD25_S2.6_t0_B,PSD25,Craig Key,S2.6,2,6,2025-06-09,t0,B,3,3,
PSD25_S2.6_t0_B,PSD25,Craig Key,S2.6,2,6,2025-06-09,t0,B,4,3,
PSD25_S2.6_t0_B,PSD25,Craig Key,S2.6,2,6,2025-06-09,t0,B,5,4,
PSD25_S2.6_t0_C,PSD25,Craig Key,S2.6,2,6,2025-06-09,t0,C,1,4,
PSD25_S2.6_t0_C,PSD25,Craig Key,S2.6,2,6,2025-06-09,t0,C,2,3,
PSD25_S2.6_t0_C,PSD25,Craig Key,S2.6,2,6,2025-06-09,t0,C,3,4,
PSD25_S2.6_t0_C,PSD25,Craig Key,S2.6,2,6,2025-06-09,t0,C,4,4,
PSD25_S2.6_t0_C,PSD25,Craig Key,S2.6,2,6,2025-06-09,t0,C,5,4,
PSD25_S3.1_t0_A,PSD25,Little Conch,S3.1,3,1,2025-06-16,t0,A,1,5,
PSD25_S3.1_t0_A,PSD25,Little Conch,S3.1,3,1,2025-06-16,t0,A,2,2,
PSD25_S3.1_t0_A,PSD25,Little Conch,S3.1,3,1,2025-06-16,t0,A,3,3,
PSD25_S3.1_t0_A,PSD25,Little Conch,S3.1,3,1,2025-06-16,t0,A,4,3,
PSD25_S3.1_t0_A,PSD25,Little Conch,S3.1,3,1,2025-06-16,t0,A,5,3,
PSD25_S3.1_t0_B,PSD25,Little Conch,S3.1,3,1,2025-06-16,t0,B,1,2,
PSD25_S3.1_t0_B,PSD25,Little Conch,S3.1,3,1,2025-06-16,t0,B,2,4,
PSD25_S3.1_t0_B,PSD25,Little Conch,S3.1,3,1,2025-06-16,t0,B,3,3,
PSD25_S3.1_t0_B,PSD25,Little Conch,S3.1,3,1,2025-06-16,t0,B,4,3,
PSD25_S3.1_t0_B,PSD25,Little Conch,S3.1,3,1,2025-06-16,t0,B,5,3,
PSD25_S3.1_t0_C,PSD25,Little Conch,S3.1,3,1,2025-06-16,t0,C,1,3,
PSD25_S3.1_t0_C,PSD25,Little Conch,S3.1,3,1,2025-06-16,t0,C,2,3,
PSD25_S3.1_t0_C,PSD25,Little Conch,S3.1,3,1,2025-06-16,t0,C,3,4,
PSD25_S3.1_t0_C,PSD25,Little Conch,S3.1,3,1,2025-06-16,t0,C,4,NA,
PSD25_S3.1_t0_C,PSD25,Little Conch,S3.1,3,1,2025-06-16,t0,C,5,NA,
PSD25_S3.2_t0_A,PSD25,Little Conch,S3.2,3,2,2025-06-16,t0,A,1,4,
PSD25_S3.2_t0_A,PSD25,Little Conch,S3.2,3,2,2025-06-16,t0,A,2,4,
PSD25_S3.2_t0_A,PSD25,Little Conch,S3.2,3,2,2025-06-16,t0,A,3,3,
PSD25_S3.2_t0_A,PSD25,Little Conch,S3.2,3,2,2025-06-16,t0,A,4,3,
PSD25_S3.2_t0_A,PSD25,Little Conch,S3.2,3,2,2025-06-16,t0,A,5,3,
PSD25_S3.2_t0_B,PSD25,Little Conch,S3.2,3,2,2025-06-16,t0,B,1,4,
PSD25_S3.2_t0_B,PSD25,Little Conch,S3.2,3,2,2025-06-16,t0,B,2,4,
PSD25_S3.2_t0_B,PSD25,Little Conch,S3.2,3,2,2025-06-16,t0,B,3,3,
PSD25_S3.2_t0_B,PSD25,Little Conch,S3.2,3,2,2025-06-16,t0,B,4,3,
PSD25_S3.2_t0_B,PSD25,Little Conch,S3.2,3,2,2025-06-16,t0,B,5,4,
PSD25_S3.2_t0_C,PSD25,Little Conch,S3.2,3,2,2025-06-16,t0,C,1,3,
PSD25_S3.2_t0_C,PSD25,Little Conch,S3.2,3,2,2025-06-16,t0,C,2,3,
PSD25_S3.2_t0_C,PSD25,Little Conch,S3.2,3,2,2025-06-16,t0,C,3,3,
PSD25_S3.2_t0_C,PSD25,Little Conch,S3.2,3,2,2025-06-16,t0,C,4,4,
PSD25_S3.2_t0_C,PSD25,Little Conch,S3.2,3,2,2025-06-16,t0,C,5,3,
PSD25_S3.3_t0_A,PSD25,Little Conch,S3.3,3,3,2025-06-16,t0,A,1,4,
PSD25_S3.3_t0_A,PSD25,Little Conch,S3.3,3,3,2025-06-16,t0,A,2,3,
PSD25_S3.3_t0_A,PSD25,Little Conch,S3.3,3,3,2025-06-16,t0,A,3,4,
PSD25_S3.3_t0_A,PSD25,Little Conch,S3.3,3,3,2025-06-16,t0,A,4,3,
PSD25_S3.3_t0_A,PSD25,Little Conch,S3.3,3,3,2025-06-16,t0,A,5,3,
PSD25_S3.3_t0_B,PSD25,Little Conch,S3.3,3,3,2025-06-16,t0,B,1,3,
PSD25_S3.3_t0_B,PSD25,Little Conch,S3.3,3,3,2025-06-16,t0,B,2,3,
PSD25_S3.3_t0_B,PSD25,Little Conch,S3.3,3,3,2025-06-16,t0,B,3,5,
PSD25_S3.3_t0_B,PSD25,Little Conch,S3.3,3,3,2025-06-16,t0,B,4,3,
PSD25_S3.3_t0_B,PSD25,Little Conch,S3.3,3,3,2025-06-16,t0,B,5,5,
PSD25_S3.3_t0_C,PSD25,Little Conch,S3.3,3,3,2025-06-16,t0,C,1,3,
PSD25_S3.3_t0_C,PSD25,Little Conch,S3.3,3,3,2025-06-16,t0,C,2,2,
PSD25_S3.3_t0_C,PSD25,Little Conch,S3.3,3,3,2025-06-16,t0,C,3,3,
PSD25_S3.3_t0_C,PSD25,Little Conch,S3.3,3,3,2025-06-16,t0,C,4,5,
PSD25_S3.3_t0_C,PSD25,Little Conch,S3.3,3,3,2025-06-16,t0,C,5,3,
PSD25_S3.4_t0_A,PSD25,Little Conch,S3.4,3,4,2025-06-16,t0,A,1,3,
PSD25_S3.4_t0_A,PSD25,Little Conch,S3.4,3,4,2025-06-16,t0,A,2,2,
PSD25_S3.4_t0_A,PSD25,Little Conch,S3.4,3,4,2025-06-16,t0,A,3,4,
PSD25_S3.4_t0_A,PSD25,Little Conch,S3.4,3,4,2025-06-16,t0,A,4,3,
PSD25_S3.4_t0_A,PSD25,Little Conch,S3.4,3,4,2025-06-16,t0,A,5,3,
PSD25_S3.4_t0_B,PSD25,Little Conch,S3.4,3,4,2025-06-16,t0,B,1,3,
PSD25_S3.4_t0_B,PSD25,Little Conch,S3.4,3,4,2025-06-16,t0,B,2,3,
PSD25_S3.4_t0_B,PSD25,Little Conch,S3.4,3,4,2025-06-16,t0,B,3,4,
PSD25_S3.4_t0_B,PSD25,Little Conch,S3.4,3,4,2025-06-16,t0,B,4,2,
PSD25_S3.4_t0_B,PSD25,Little Conch,S3.4,3,4,2025-06-16,t0,B,5,4,
PSD25_S3.4_t0_C,PSD25,Little Conch,S3.4,3,4,2025-06-16,t0,C,1,4,
PSD25_S3.4_t0_C,PSD25,Little Conch,S3.4,3,4,2025-06-16,t0,C,2,2,
PSD25_S3.4_t0_C,PSD25,Little Conch,S3.4,3,4,2025-06-16,t0,C,3,3,
PSD25_S3.4_t0_C,PSD25,Little Conch,S3.4,3,4,2025-06-16,t0,C,4,3,
PSD25_S3.4_t0_C,PSD25,Little Conch,S3.4,3,4,2025-06-16,t0,C,5,4,
PSD25_S3.5_t0_A,PSD25,Little Conch,S3.5,3,5,2025-06-16,t0,A,1,3,
PSD25_S3.5_t0_A,PSD25,Little Conch,S3.5,3,5,2025-06-16,t0,A,2,4,
PSD25_S3.5_t0_A,PSD25,Little Conch,S3.5,3,5,2025-06-16,t0,A,3,3,
PSD25_S3.5_t0_A,PSD25,Little Conch,S3.5,3,5,2025-06-16,t0,A,4,5,
PSD25_S3.5_t0_A,PSD25,Little Conch,S3.5,3,5,2025-06-16,t0,A,5,4,
PSD25_S3.5_t0_B,PSD25,Little Conch,S3.5,3,5,2025-06-16,t0,B,1,3,
PSD25_S3.5_t0_B,PSD25,Little Conch,S3.5,3,5,2025-06-16,t0,B,2,3,
PSD25_S3.5_t0_B,PSD25,Little Conch,S3.5,3,5,2025-06-16,t0,B,3,3,
PSD25_S3.5_t0_B,PSD25,Little Conch,S3.5,3,5,2025-06-16,t0,B,4,3,
PSD25_S3.5_t0_B,PSD25,Little Conch,S3.5,3,5,2025-06-16,t0,B,5,3,
PSD25_S3.5_t0_C,PSD25,Little Conch,S3.5,3,5,2025-06-16,t0,C,1,5,
PSD25_S3.5_t0_C,PSD25,Little Conch,S3.5,3,5,2025-06-16,t0,C,2,4,
PSD25_S3.5_t0_C,PSD25,Little Conch,S3.5,3,5,2025-06-16,t0,C,3,5,
PSD25_S3.5_t0_C,PSD25,Little Conch,S3.5,3,5,2025-06-16,t0,C,4,4,
PSD25_S3.5_t0_C,PSD25,Little Conch,S3.5,3,5,2025-06-16,t0,C,5,5,
PSD25_S3.6_t0_A,PSD25,Little Conch,S3.6,3,6,2025-06-16,t0,A,1,5,
PSD25_S3.6_t0_A,PSD25,Little Conch,S3.6,3,6,2025-06-16,t0,A,2,5,
PSD25_S3.6_t0_A,PSD25,Little Conch,S3.6,3,6,2025-06-16,t0,A,3,5,
PSD25_S3.6_t0_A,PSD25,Little Conch,S3.6,3,6,2025-06-16,t0,A,4,5,
PSD25_S3.6_t0_A,PSD25,Little Conch,S3.6,3,6,2025-06-16,t0,A,5,5,
PSD25_S3.6_t0_B,PSD25,Little Conch,S3.6,3,6,2025-06-16,t0,B,1,5,
PSD25_S3.6_t0_B,PSD25,Little Conch,S3.6,3,6,2025-06-16,t0,B,2,3,
PSD25_S3.6_t0_B,PSD25,Little Conch,S3.6,3,6,2025-06-16,t0,B,3,4,
PSD25_S3.6_t0_B,PSD25,Little Conch,S3.6,3,6,2025-06-16,t0,B,4,3,
PSD25_S3.6_t0_B,PSD25,Little Conch,S3.6,3,6,2025-06-16,t0,B,5,4,
PSD25_S3.6_t0_C,PSD25,Little Conch,S3.6,3,6,2025-06-16,t0,C,1,4,
PSD25_S3.6_t0_C,PSD25,Little Conch,S3.6,3,6,2025-06-16,t0,C,2,4,
PSD25_S3.6_t0_C,PSD25,Little Conch,S3.6,3,6,2025-06-16,t0,C,3,3,
PSD25_S3.6_t0_C,PSD25,Little Conch,S3.6,3,6,2025-06-16,t0,C,4,3,
PSD25_S3.6_t0_C,PSD25,Little Conch,S3.6,3,6,2025-06-16,t0,C,5,4,
